date," high rate consumption kWh"," low rate consumption kWh",Column1
2021-01-07 00:06:12," 2439.271",,
2021-01-07 00:06:12,," 52531.937",
2021-01-07 00:19:52,," 52532.442",
2021-01-07 00:19:52," 2439.271",,
2021-01-07 00:33:32," 2439.271",,
2021-01-07 00:33:32,," 52532.720",
2021-01-07 00:47:12," 2439.271",,
2021-01-07 00:47:12,," 52532.756",
2021-01-07 01:00:52," 2439.271",,
2021-01-07 01:00:52,," 52532.790",
2021-01-07 01:14:32,," 52532.822",
2021-01-07 01:14:32," 2439.271",,
2021-01-07 01:28:13," 2439.271",,
2021-01-07 01:28:13,," 52532.860",
2021-01-07 01:41:53," 2439.271",,
2021-01-07 01:41:53,," 52533.484",
2021-01-07 01:55:33," 2439.271",,
2021-01-07 01:55:33,," 52533.737",
2021-01-07 02:09:13,," 52534.206",
2021-01-07 02:09:13," 2439.271",,
2021-01-07 02:22:54," 2439.271",,
2021-01-07 02:22:54,," 52534.753",
2021-01-07 02:36:33," 2439.271",,
2021-01-07 02:36:33,," 52535.092",
2021-01-07 02:50:13," 2439.271",,
2021-01-07 02:50:13,," 52536.028",
2021-01-07 03:03:53,," 52536.808",
2021-01-07 03:03:53," 2439.271",,
2021-01-07 03:17:34," 2439.271",,
2021-01-07 03:17:34,," 52536.918",
2021-01-07 03:31:13," 2439.271",,
2021-01-07 03:31:13,," 52537.107",
2021-01-07 03:44:53," 2439.271",,
2021-01-07 03:44:53,," 52537.139",
2021-01-07 03:58:33,," 52537.270",
2021-01-07 03:58:33," 2439.271",,
2021-01-07 04:12:12," 2439.271",,
2021-01-07 04:12:12,," 52537.593",
2021-01-07 04:25:52," 2439.271",,
2021-01-07 04:25:52,," 52538.135",
2021-01-07 04:39:31," 2439.271",,
2021-01-07 04:39:31,," 52538.162",
2021-01-07 04:53:11,," 52538.292",
2021-01-07 04:53:11," 2439.271",,
2021-01-07 05:06:50," 2439.271",,
2021-01-07 05:06:50,," 52538.348",
2021-01-07 05:20:29," 2439.271",,
2021-01-07 05:20:29,," 52538.637",
2021-01-07 05:34:08," 2439.271",,
2021-01-07 05:34:08,," 52539.256",
2021-01-07 05:47:47,," 52539.307",
2021-01-07 05:47:47," 2439.271",,
2021-01-07 06:01:27," 2439.271",,
2021-01-07 06:01:27,," 52539.813",
2021-01-07 06:15:07," 2439.271",,
2021-01-07 06:15:07,," 52542.613",
2021-01-07 06:28:48," 2439.271",,
2021-01-07 06:28:48,," 52545.026",
2021-01-07 06:42:29,," 52546.223",
2021-01-07 06:42:29," 2439.271",,
2021-01-07 06:56:07," 2439.271",,
2021-01-07 06:56:07,," 52547.515",
2021-01-07 07:09:47," 2439.271",,
2021-01-07 07:09:47,," 52549.173",
2021-01-07 07:23:26," 2439.271",,
2021-01-07 07:23:26,," 52550.738",
2021-01-07 07:37:06,," 52551.989",
2021-01-07 07:37:06," 2439.316",,
2021-01-07 07:50:46," 2439.363",,
2021-01-07 07:50:46,," 52551.989",
2021-01-07 08:04:25," 2439.410",,
2021-01-07 08:04:25,," 52551.989",
2021-01-07 08:18:05," 2439.464",,
2021-01-07 08:18:05,," 52551.989",
2021-01-07 08:31:44,," 52551.989",
2021-01-07 08:31:44," 2439.516",,
2021-01-07 08:45:24," 2439.525",,
2021-01-07 08:45:24,," 52552.022",
2021-01-07 08:59:03," 2439.525",,
